"Day","NumVehicles"
"15-Apr-10",493952
"16-Apr-10",400176
"17-Apr-10",349012
"18-Apr-10",443556
"19-Apr-10",455084
"20-Apr-10",469804
"21-Apr-10",477000
"22-Apr-10",504788
"23-Apr-10",418664
"24-Apr-10",366380
"25-Apr-10",450832
"26-Apr-10",463684
"27-Apr-10",480176
"28-Apr-10",488284
"29-Apr-10",517604
"30-Apr-10",428664
"01-May-10",379736
"02-May-10",453056
"03-May-10",461972
"04-May-10",505988
"05-May-10",327640
"06-May-10",435980
"07-May-10",391048
"08-May-10",412852
"09-May-10",451652
"10-May-10",459792
"11-May-10",478352
"12-May-10",477420
"13-May-10",518532
"14-May-10",405056
"15-May-10",350888
"16-May-10",344708
"17-May-10",470536
"18-May-10",483340
"19-May-10",487076
"20-May-10",513784
"21-May-10",421644
"22-May-10",360420
"23-May-10",461520
"24-May-10",469960
"25-May-10",498260
"26-May-10",461916
"27-May-10",512168
"28-May-10",427760
"29-May-10",393004
"30-May-10",460336
"31-May-10",466288
"01-Jun-10",477528
"02-Jun-10",482264
"03-Jun-10",510384
"04-Jun-10",420552
"05-Jun-10",385564
"06-Jun-10",452460
"07-Jun-10",465392
"08-Jun-10",481732
"09-Jun-10",484816
"10-Jun-10",517128
"11-Jun-10",428384
"12-Jun-10",390488
"13-Jun-10",460168
"14-Jun-10",464748
"15-Jun-10",486540
"16-Jun-10",497360
"17-Jun-10",524124
"18-Jun-10",435776
"19-Jun-10",395032
"20-Jun-10",460348
"21-Jun-10",461044
"22-Jun-10",495580
"23-Jun-10",493464
"24-Jun-10",515928
"25-Jun-10",429084
"26-Jun-10",383404
"27-Jun-10",466792
"28-Jun-10",463716
"29-Jun-10",484464
"30-Jun-10",501412
"01-Jul-10",533000
"02-Jul-10",438340
"03-Jul-10",385500
"04-Jul-10",455076
"05-Jul-10",465884
"06-Jul-10",469684
"07-Jul-10",479392
"08-Jul-10",500648
"09-Jul-10",408160
"10-Jul-10",372032
"11-Jul-10",448256
"12-Jul-10",447252
"13-Jul-10",458980
"14-Jul-10",464360
"15-Jul-10",489200
"16-Jul-10",404052
"17-Jul-10",357968
"18-Jul-10",444284
"19-Jul-10",430820
"20-Jul-10",435772
"21-Jul-10",442248
"22-Jul-10",467776
"23-Jul-10",388300
"24-Jul-10",337496
"25-Jul-10",414380
"26-Jul-10",418816
"27-Jul-10",427528
"28-Jul-10",430080
"29-Jul-10",466692
"30-Jul-10",402796
"31-Jul-10",338008
"01-Aug-10",290456
"02-Aug-10",441436
"03-Aug-10",442412
"04-Aug-10",454888
"05-Aug-10",476036
"06-Aug-10",408048
"07-Aug-10",362084
"08-Aug-10",444108
"09-Aug-10",454260
"10-Aug-10",473976
"11-Aug-10",474060
"12-Aug-10",517012
"13-Aug-10",443792
"14-Aug-10",401456
"15-Aug-10",464128
"16-Aug-10",465148
"17-Aug-10",482824
"18-Aug-10",486328
"19-Aug-10",520564
"20-Aug-10",448648
"21-Aug-10",381176
"22-Aug-10",457092
"23-Aug-10",478560
"24-Aug-10",494664
"25-Aug-10",513096
"26-Aug-10",559360
"27-Aug-10",489516
"28-Aug-10",416404
"29-Aug-10",467300
"30-Aug-10",470248
"31-Aug-10",479572
